CODCAIXA,IDCODMOVCAIXA,DATA,OBS,OPERACAO,CREDITO,DEBITO,CODUSUARIO,CODVENREC,IDREMESSA,MESLCTO,HORA,REG,IDCODDESP,OP_SANGRIA,CODVENDA,CODTIPOVENDA,ID_PROCESSAMENTO,ORIGEM_NUVEM,VALOROPERACAO,OP_ACRESCIMO,OP_DESCONTO,TIPO_LANC,OBSERVACAO
1,189,2023-08-09,Venda Deposito Bancario,3,0,3564.48,8,94,0,,08:46,,,,,,0,,,,,,
1,190,2023-08-10,000001 - Consumidor,30,3121.6,0,8,95,0,,08:43,,,,,,0,,,,,,
1,191,2023-08-10,Venda Deposito Bancario,3,0,3121.6,8,95,0,,08:43,,,,,,0,,,,,,
1,192,2023-08-07,000001 - Consumidor,30,70,0,8,96,0,,15:45,,,,,,0,,,,,,
1,193,2023-08-07,Venda Deposito Bancario,3,0,70,8,96,0,,15:45,,,,,,0,,,,,,
1,194,2023-08-07,000001 - Consumidor,30,630,0,8,97,0,,15:46,,,,,,0,,,,,,
1,195,2023-08-07,Venda Deposito Bancario,3,0,630,8,97,0,,15:46,,,,,,0,,,,,,
1,196,2023-08-08,000001 - Consumidor,30,35,0,8,98,0,,17:58,,,,,,0,,,,,,
1,197,2023-08-08,Venda Deposito Bancario,3,0,35,8,98,0,,17:58,,,,,,0,,,,,,
1,198,2023-08-08,000001 - Consumidor,30,70,0,8,99,0,,17:58,,,,,,0,,,,,,
1,199,2023-08-08,Venda Deposito Bancario,3,0,70,8,99,0,,17:58,,,,,,0,,,,,,
1,200,2023-08-09,000001 - Consumidor,30,420,0,8,100,0,,18:00,,,,,,0,,,,,,
1,201,2023-08-09,Venda Deposito Bancario,3,0,420,8,100,0,,18:00,,,,,,0,,,,,,
1,202,2023-08-09,000001 - Consumidor,30,840,0,8,101,0,,18:00,,,,,,0,,,,,,
1,203,2023-08-09,Venda Deposito Bancario,3,0,840,8,101,0,,18:00,,,,,,0,,,,,,
1,204,2023-08-09,000001 - Consumidor,30,35,0,8,102,0,,18:01,,,,,,0,,,,,,
1,205,2023-08-09,Venda Deposito Bancario,3,0,35,8,102,0,,18:01,,,,,,0,,,,,,
1,206,2023-08-09,000001 - Consumidor,30,700,0,8,103,0,,18:02,,,,,,0,,,,,,
1,207,2023-08-09,Venda Deposito Bancario,3,0,700,8,103,0,,18:02,,,,,,0,,,,,,
1,208,2023-08-09,000001 - Consumidor,30,630,0,8,104,0,,18:05,,,,,,0,,,,,,
1,209,2023-08-09,Venda Deposito Bancario,3,0,630,8,104,0,,18:05,,,,,,0,,,,,,
1,210,2023-08-10,000001 - Consumidor,30,630,0,8,105,0,,18:11,,,,,,0,,,,,,
1,211,2023-08-10,Venda Deposito Bancario,3,0,630,8,105,0,,18:11,,,,,,0,,,,,,
1,212,2023-08-10,000001 - Consumidor,30,70,0,8,106,0,,18:13,,,,,,0,,,,,,
1,213,2023-08-10,Venda Deposito Bancario,3,0,70,8,106,0,,18:13,,,,,,0,,,,,,
1,214,2023-08-10,000001 - Consumidor,30,560,0,8,107,0,,10:48,,,,,,0,,,,,,
1,215,2023-08-10,Venda Deposito Bancario,3,0,560,8,107,0,,10:48,,,,,,0,,,,,,
1,216,2023-08-10,000001 - Consumidor,30,35,0,8,108,0,,13:59,,,,,,0,,,,,,
1,217,2023-08-10,Venda Deposito Bancario,3,0,35,8,108,0,,13:59,,,,,,0,,,,,,
1,218,2023-08-10,000001 - Consumidor,30,80,0,8,109,0,,16:50,,,,,,0,,,,,,
1,219,2023-08-10,Venda Deposito Bancario,3,0,80,8,109,0,,16:50,,,,,,0,,,,,,
1,220,2023-08-10,000001 - Consumidor,30,35,0,8,110,0,,16:56,,,,,,0,,,,,,
1,221,2023-08-10,Venda Deposito Bancario,3,0,35,8,110,0,,16:56,,,,,,0,,,,,,
1,222,2023-08-11,000001 - Consumidor,30,2618.68,0,8,111,0,,16:59,,,,,,0,,,,,,
1,223,2023-08-11,Venda Deposito Bancario,3,0,2618.68,8,111,0,,16:59,,,,,,0,,,,,,
1,224,2023-08-11,000001 - Consumidor,30,595,0,8,112,0,,17:00,,,,,,0,,,,,,
1,225,2023-08-11,Venda Deposito Bancario,3,0,595,8,112,0,,17:00,,,,,,0,,,,,,
1,226,2023-08-11,000001 - Consumidor,30,735,0,8,113,0,,17:21,,,,,,0,,,,,,
1,227,2023-08-11,Venda Deposito Bancario,3,0,735,8,113,0,,17:21,,,,,,0,,,,,,
1,228,2023-08-11,000001 - Consumidor,30,25,0,8,114,0,,17:22,,,,,,0,,,,,,
1,229,2023-08-11,Venda Deposito Bancario,3,0,25,8,114,0,,17:22,,,,,,0,,,,,,
1,230,2023-08-11,000001 - Consumidor,30,490,0,8,115,0,,17:23,,,,,,0,,,,,,
1,231,2023-08-11,Venda Deposito Bancario,3,0,490,8,115,0,,17:23,,,,,,0,,,,,,
1,232,2023-08-11,000001 - Consumidor,30,385,0,8,116,0,,17:33,,,,,,0,,,,,,
1,233,2023-08-11,Venda Deposito Bancario,3,0,385,8,116,0,,17:33,,,,,,0,,,,,,
1,234,2023-08-11,000001 - Consumidor,30,405,0,8,117,0,,17:34,,,,,,0,,,,,,
1,235,2023-08-11,Venda Deposito Bancario,3,0,405,8,117,0,,17:34,,,,,,0,,,,,,
1,236,2023-08-11,000001 - Consumidor,30,175,0,8,118,0,,17:35,,,,,,0,,,,,,
1,237,2023-08-11,Venda Deposito Bancario,3,0,175,8,118,0,,17:35,,,,,,0,,,,,,
1,238,2023-08-11,000001 - Consumidor,30,805,0,8,119,0,,17:36,,,,,,0,,,,,,
1,239,2023-08-11,Venda Deposito Bancario,3,0,805,8,119,0,,17:36,,,,,,0,,,,,,
1,240,2023-08-11,000001 - Consumidor,30,155,0,8,120,0,,17:37,,,,,,0,,,,,,
